date,start time,peak time,end time,Location,flare type,class,AR_Number,MWC,Z value,P value,C value,MC,Area,DSN,year
2/12/1981,914,916,924,N16W,C,C1.5,3484,BG,E,A,I,EAI,70,256,1981
5/12/1981,1316,1317,1322,N08E,C,C2.9,3500,B,E,A,O,EAO,80,285,1981
5/12/1981,1208,1220,1248,N07E,C,C2.9,3496,B,D,A,I,DAI,80,285,1981
7/12/1981,1902,1910,1919,S14W,C,C9.5,3502,B,C,R,O,CRO,30,318,1981
7/12/1981,2346,2355,2405,N10E,C,C2.0,3503,B,D,R,O,DRO,60,318,1981
8/12/1981,1809,1845,1940,S13W,M,M1.4,3502,B,B,X,O,BXO,20,324,1981
8/12/1981,32,35,47,S06E,C,C7.6,3505,B,D,K,O,DKO,50,324,1981
12/14/1981,232,238,308,N11E,C,C1.3,3511,B,C,R,O,CRO,30,207,1981
12/15/1981,735,739,749,S08W,C,C2.1,3507,B,E,A,I,EAI,40,147,1981
12/16/1981,351,358,420,S06W,C,C2.0,3505,A,H,H,X,HHX,10,86,1981
12/25/1981,535,535,601,N22E,C,C1.5,3522,BG,D,A,O,DAO,90,81,1981
12/26/1981,1643,1645,1659,S12E,C,C1.2,3527,B,B,X,O,BXO,10,130,1981
12/27/1981,909,909,942,S20E,C,C5.4,3525,B,C,R,O,CRO,40,135,1981
12/28/1981,1303,1335,1340,N21W,C,C4.2,3522,B,D,A,O,DAO,10,177,1981
12/29/1981,2046,2049,2119,S21W,C,C1.9,3525,B,B,X,O,BXO,20,172,1981
12/30/1981,2214,2220,2235,N20W,C,C5.1,3522,B,B,X,O,BXO,40,146,1981
1/2/1982,339,345,424,N09E,C,C4.4,3579,BG,D,H,I,DHI,0,364,1982
1/14/1982,1546,1556,1607,S08E,C,C1.0,3549,B,D,A,O,DAO,80,78,1982
1/18/1982,523,548,706,S10W,C,C4.0,3549,BG,D,S,I,DSI,40,187,1982
1/18/1982,1339,1443,1452,S15W,C,C5.9,3559,B,D,A,O,DAO,0,187,1982
1/22/1982,1255,1256,1312,S07E,C,C1.8,3569,B,D,A,O,DAO,80,163,1982
1/24/1982,1348,1350,1409,N04W,C,C2.2,3557,B,B,X,O,BXO,30,94,1982
1/27/1982,1710,1724,1751,S09E,C,C2.3,3578,B,B,X,O,BXO,10,168,1982
1/27/1982,2026,2052,2217,S13E,C,C2.9,3577,B,C,R,I,CRI,30,168,1982
2/6/1982,2130,2131,2148,N18E,C,C1.5,3758,B,C,S,O,CSO,20,123,1982
2/8/1982,1714,1717,1734,S11E,C,C7.2,3829,B,E,A,I,EAI,80,102,1982
2/11/1982,13,14,25,N05W,C,C3.7,3966,B,D,A,O,DAO,70,114,1982
2/11/1982,639,650,700,S08W,C,C1.4,3961,B,E,K,O,EKO,70,114,1982
2/13/1982,1931,1935,2004,S11W,C,C3.9,3594,BG,F,K,C,FKC,20,229,1982
2/15/1982,2000,2000,2010,S11W,C,C1.2,3594,BG,F,K,C,FKC,80,189,1982
2/16/1982,104,109,122,N04E,C,C2.2,3607,B,D,K,I,DKI,60,157,1982
2/19/1982,356,401,416,N12E,C,C1.9,3610,B,E,K,I,EKI,70,151,1982
2/20/1982,242,243,247,N04W,C,C2.2,3607,BG,D,K,I,DKI,70,168,1982
2/23/1982,1738,1740,1754,N13W,C,C2.4,3610,B,E,A,O,EAO,0,137,1982
2/25/1982,1600,1610,1615,N13W,C,C3.7,3610,B,B,X,O,BXO,10,181,1982
2/25/1982,519,520,526,S06E,C,C5.0,3626,A,H,S,X,HSX,10,181,1982
2/25/1982,1952,1957,2052,N05E,C,C3.0,3624,B,D,S,O,DSO,90,181,1982
2/28/1982,625,628,640,N17E,C,C5.7,3628,B,E,K,I,EKI,80,230,1982
2/28/1982,402,403,424,N15E,C,C3.0,3625,B,D,K,I,DKI,80,230,1982
3/2/1982,1155,1157,1214,S18E,M,M3.0,3583,BG,E,S,I,ESI,70,328,1982
3/4/1982,741,750,827,S12W,M,M1.4,3658,B,C,R,O,CRO,10,211,1982
3/5/1982,1458,1501,1543,S18W,C,C1.2,3714,B,E,K,O,EKO,40,67,1982
3/8/1982,128,138,140,N16E,C,C3.1,3830,B,C,R,O,CRO,20,102,1982
3/9/1982,1331,1406,1540,N06W,C,C1.4,3887,B,B,X,O,BXO,20,206,1982
3/10/1982,1653,1657,1724,N16W,C,C3.0,3931,B,B,X,O,BXO,10,203,1982
